Epoch,Optimizer,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Top1_Train_Error,Top1_Val_Error,Top5_Train_Error,Top5_Val_Error
1,SGD,0.1956,0.2267,2.3569,2.1457,0.8044,0.7733,0.3494,0.2679
2,SGD,0.6014,0.7881,1.1629,0.65,0.3986,0.2119,0.0512,0.0133
3,SGD,0.7781,0.8696,0.6641,0.396,0.2219,0.1304,0.0157,0.0046
4,SGD,0.8503,0.8886,0.4624,0.3295,0.1497,0.1114,0.0078,0.004
1,AdaGrad,0.8862,0.9182,0.3499,0.2474,0.1138,0.0818,0.0046,0.0021
2,AdaGrad,0.9293,0.9306,0.2228,0.2172,0.0707,0.0694,0.0022,0.0021
3,AdaGrad,0.9509,0.9329,0.153,0.2137,0.0491,0.0671,0.0009,0.0015
4,AdaGrad,0.9669,0.9376,0.1075,0.2084,0.0331,0.0624,0.0005,0.0018
1,RMSprop,0.4702,0.4957,1.6088,2.7084,0.5298,0.5043,0.0633,0.1361
2,RMSprop,0.7865,0.5061,0.6744,2.193,0.2135,0.4939,0.0161,0.1019
3,RMSprop,0.8398,0.746,0.4955,0.8892,0.1602,0.254,0.0101,0.0154
4,RMSprop,0.8709,0.7792,0.4103,0.8069,0.1291,0.2208,0.0073,0.0174
1,Momentum,0.7584400177,0.605799973,0.7149335742,1.127320647,0.2415599823,0.394200027,0.04174000025,0.04320001602
2,Momentum,0.9337400198,0.9157999754,0.2071837485,0.2621165514,0.0662599802,0.0842000246,0.001940011978,0.001600027084
3,Momentum,0.9644399881,0.9401999712,0.1115968674,0.1983743608,0.03556001186,0.0598000288,0.0007200241089,0.0009999871254
4,Momentum,0.9784600139,0.9337999821,0.06706982851,0.2390041053,0.02153998613,0.06620001793,0.0003200173378,0.001200020313
1,Adam,0.7426800132,0.6938999891,0.8110733628,0.9828602672,0.2573199868,0.3061000109,0.02223330736,0.0202999711
2,Adam,0.842320025,0.8122000098,0.4843986034,0.6159902215,0.157679975,0.1877999902,0.009379982948,0.01410001516
3,Adam,0.8767200112,0.855700016,0.3793188035,0.437615782,0.1232799888,0.144299984,0.005379974842,0.006099998951
4,Adam,0.9019399881,0.7185000181,0.3047396541,0.9674318433,0.09806001186,0.2814999819,0.004440009594,0.03210002184